# bin-midpt	Count	NumberDensity
9.999990463256835938e-03 2.004449999999999932e+01 1.002224999999999909e+03
2.999997138977050781e-02 1.983650000000000091e+01 9.918250000000000455e+02
4.999995231628417969e-02 1.995799999999999841e+01 9.978999999999998636e+02
6.999993324279785156e-02 2.017849999999999966e+01 1.008924999999999955e+03
8.999991416931152344e-02 1.996499999999999986e+01 9.982500000000000000e+02
1.099998950958251953e-01 1.995299999999999940e+01 9.976499999999999773e+02
1.299998760223388672e-01 1.982649999999999935e+01 9.913249999999999318e+02
1.499998569488525391e-01 1.998300000000000054e+01 9.991499999999999773e+02
1.699998378753662109e-01 1.994950000000000045e+01 9.974750000000000227e+02
1.899998188018798828e-01 1.999500000000000099e+01 9.997500000000000000e+02
2.099997997283935547e-01 1.994350000000000023e+01 9.971749999999999545e+02
2.299997806549072266e-01 2.007450000000000045e+01 1.003725000000000023e+03
2.499997615814208984e-01 1.984850000000000136e+01 9.924250000000000682e+02
2.699997425079345703e-01 1.977199999999999847e+01 9.885999999999999091e+02
2.899997234344482422e-01 1.993550000000000111e+01 9.967750000000000909e+02
3.099997043609619141e-01 1.979299999999999926e+01 9.896499999999999773e+02
3.299996852874755859e-01 1.998699999999999832e+01 9.993499999999999091e+02
3.499996662139892578e-01 1.968400000000000105e+01 9.842000000000000455e+02
3.699996471405029297e-01 1.975949999999999918e+01 9.879749999999999091e+02
3.899996280670166016e-01 2.004200000000000159e+01 1.002100000000000023e+03
4.099996089935302734e-01 1.995749999999999957e+01 9.978750000000000000e+02
4.299995899200439453e-01 2.008650000000000091e+01 1.004325000000000045e+03
4.499995708465576172e-01 1.992249999999999943e+01 9.961250000000000000e+02
4.699995517730712891e-01 1.991199999999999903e+01 9.955999999999999091e+02
4.899995326995849609e-01 1.975000000000000000e+01 9.875000000000000000e+02
5.099995136260986328e-01 1.993850000000000122e+01 9.969250000000000682e+02
5.299994945526123047e-01 1.982999999999999829e+01 9.914999999999998863e+02
5.499994754791259766e-01 1.988650000000000162e+01 9.943250000000000455e+02
5.699994564056396484e-01 1.985750000000000171e+01 9.928750000000001137e+02
5.899994373321533203e-01 1.987349999999999994e+01 9.936749999999999545e+02
6.099994182586669922e-01 1.971600000000000108e+01 9.858000000000000682e+02
6.299993991851806641e-01 2.002749999999999986e+01 1.001375000000000000e+03
6.499993801116943359e-01 1.985600000000000165e+01 9.928000000000000682e+02
6.699993610382080078e-01 1.991199999999999903e+01 9.955999999999999091e+02
6.899993419647216797e-01 1.972400000000000020e+01 9.862000000000000455e+02
7.099993228912353516e-01 2.006050000000000111e+01 1.003025000000000091e+03
7.299993038177490234e-01 2.007700000000000173e+01 1.003850000000000023e+03
7.499992847442626953e-01 1.981449999999999889e+01 9.907249999999999091e+02
7.699992656707763672e-01 1.995349999999999824e+01 9.976749999999998408e+02
7.899992465972900391e-01 1.987150000000000105e+01 9.935750000000000455e+02
8.099992275238037109e-01 2.003849999999999909e+01 1.001924999999999955e+03
8.299992084503173828e-01 1.984499999999999886e+01 9.922499999999998863e+02
8.499991893768310547e-01 1.983149999999999835e+01 9.915749999999999318e+02
8.699991703033447266e-01 2.007799999999999940e+01 1.003899999999999977e+03
8.899991512298583984e-01 1.993149999999999977e+01 9.965749999999999318e+02
9.099991321563720703e-01 1.993499999999999872e+01 9.967499999999998863e+02
9.299991130828857422e-01 1.993750000000000000e+01 9.968750000000000000e+02
9.499990940093994141e-01 2.006400000000000006e+01 1.003199999999999932e+03
9.699990749359130859e-01 2.002599999999999980e+01 1.001299999999999955e+03
9.899990558624267578e-01 2.000900000000000034e+01 1.000450000000000045e+03
1.009999036788940430e+00 1.984400000000000119e+01 9.922000000000000455e+02
1.029999017715454102e+00 2.005249999999999844e+01 1.002624999999999886e+03
1.049998998641967773e+00 1.994350000000000023e+01 9.971749999999999545e+02
1.069998979568481445e+00 2.000250000000000128e+01 1.000125000000000000e+03
1.089998960494995117e+00 2.010050000000000026e+01 1.005024999999999977e+03
1.109998941421508789e+00 2.001899999999999835e+01 1.000949999999999932e+03
1.129998922348022461e+00 2.010099999999999909e+01 1.005049999999999955e+03
1.149998903274536133e+00 2.000900000000000034e+01 1.000450000000000045e+03
1.169998884201049805e+00 2.019000000000000128e+01 1.009500000000000000e+03
1.189998865127563477e+00 1.999899999999999878e+01 9.999499999999999318e+02
1.209998846054077148e+00 1.992350000000000065e+01 9.961750000000000682e+02
1.229998826980590820e+00 2.001800000000000068e+01 1.000899999999999977e+03
1.249998807907104492e+00 2.002100000000000080e+01 1.001050000000000068e+03
1.269998788833618164e+00 2.022599999999999909e+01 1.011299999999999955e+03
1.289998769760131836e+00 2.019450000000000145e+01 1.009725000000000023e+03
1.309998750686645508e+00 2.021799999999999997e+01 1.010899999999999977e+03
1.329998731613159180e+00 2.001749999999999829e+01 1.000874999999999886e+03
1.349998712539672852e+00 2.004749999999999943e+01 1.002375000000000000e+03
1.369998693466186523e+00 2.009949999999999903e+01 1.004974999999999909e+03
1.389998674392700195e+00 2.025150000000000006e+01 1.012574999999999932e+03
1.409998655319213867e+00 2.014300000000000068e+01 1.007149999999999977e+03
1.429998636245727539e+00 2.005249999999999844e+01 1.002624999999999886e+03
1.449998617172241211e+00 2.009450000000000003e+01 1.004725000000000023e+03
1.469998598098754883e+00 2.016799999999999926e+01 1.008399999999999977e+03
