Iter       Mode Srel         Bias         Obj          dx           Global:Charge(0)     Global:Charge(1)     Global:Charge(2)     LJGaussAA:Epsilon    LJGaussAA:Sigma      LJGaussAA:B          LJGaussAA:Kappa      LJGaussAA:Dist0      LJGaussBB:Epsilon    LJGaussBB:Sigma      LJGaussBB:B          LJGaussBB:Kappa      LJGaussBB:Dist0      LJGaussAB:Epsilon    LJGaussAB:Sigma      LJGaussAB:B          LJGaussAB:Kappa      LJGaussAB:Dist0      LJGaussAC:Epsilon    LJGaussAC:Sigma      LJGaussAC:B          LJGaussAC:Kappa      LJGaussAC:Dist0      LJGaussBC:Epsilon    LJGaussBC:Sigma      LJGaussBC:B          LJGaussBC:Kappa      LJGaussBC:Dist0      ExtSin:UConst        ExtSin:NPeriods     
1          SD   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2427e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
2          LSB  2.7565e+03   0.0000e+00   2.7565e+03   1.0000e-02   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           3.5754e+00           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
3          LSB  2.6943e+02   0.0000e+00   2.6943e+02   1.0000e-03   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           7.3939e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
4          LSB  2.0726e+01   0.0000e+00   2.0726e+01   1.0000e-04   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.5579e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
5          LSB  -5.3738e-01  0.0000e+00   -5.3738e-01  1.0000e-05   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2743e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
6          LSB  -9.4905e-02  0.0000e+00   -9.4905e-02  1.0000e-06   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2459e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
7          LSB  -1.8098e-01  0.0000e+00   -1.8098e-01  1.0000e-06   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2490e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
8          LSB  -2.5814e-01  0.0000e+00   -2.5814e-01  1.0000e-06   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2522e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
9          LSB  -3.8531e-01  0.0000e+00   -3.8531e-01  2.0000e-06   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2585e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
10         LSB  -4.7535e-01  0.0000e+00   -4.7535e-01  2.0000e-06   0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2648e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1956e-01           2.5000e-01           0.0000e+00           5.0000e-01           1.0000e+00          
