
========TARGET AND MODEL ARGUMENT HISTOGRAMS========
POTENTIAL LJGaussAA

arg         target      model       
4.5577e-02  2.1556e+00  2.5483e+01  
1.0542e-01  1.1948e+01  1.0686e+02  
1.6526e-01  2.9736e+01  2.7957e+02  
2.2511e-01  6.3173e+01  5.0935e+02  
2.8495e-01  1.1950e+02  8.1431e+02  
3.4479e-01  2.1387e+02  1.1975e+03  
4.0464e-01  3.6747e+02  1.6355e+03  
4.6448e-01  5.9365e+02  2.1880e+03  
5.2433e-01  9.5461e+02  2.7541e+03  
5.8417e-01  1.4541e+03  3.4638e+03  
6.4401e-01  2.1678e+03  4.2002e+03  
7.0386e-01  3.1174e+03  5.0511e+03  
7.6370e-01  4.3023e+03  5.9572e+03  
8.2354e-01  5.7403e+03  6.9667e+03  
8.8339e-01  7.3880e+03  8.0325e+03  
9.4323e-01  9.1843e+03  9.1619e+03  
1.0031e+00  1.1041e+04  1.0421e+04  
1.0629e+00  1.2962e+04  1.1698e+04  
1.1228e+00  1.4860e+04  1.3136e+04  
1.1826e+00  1.6650e+04  1.4600e+04  
1.2424e+00  1.8367e+04  1.6162e+04  
1.3023e+00  2.0019e+04  1.7784e+04  
1.3621e+00  2.1643e+04  1.9561e+04  
1.4220e+00  2.3233e+04  2.1360e+04  
1.4818e+00  2.4834e+04  2.3259e+04  
1.5417e+00  2.6509e+04  2.5330e+04  
1.6015e+00  2.8269e+04  2.7421e+04  
1.6614e+00  3.0144e+04  2.9561e+04  
1.7212e+00  3.2116e+04  3.1865e+04  
1.7810e+00  3.4194e+04  3.4134e+04  
1.8409e+00  3.6488e+04  3.6630e+04  
1.9007e+00  3.8922e+04  3.9098e+04  
1.9606e+00  4.1437e+04  4.1687e+04  
2.0204e+00  4.4152e+04  4.4379e+04  
2.0803e+00  4.6912e+04  4.7117e+04  
2.1401e+00  4.9775e+04  5.0055e+04  
2.1999e+00  5.2819e+04  5.2994e+04  
2.2598e+00  5.5795e+04  5.5911e+04  
2.3196e+00  5.8926e+04  5.8850e+04  
2.3795e+00  6.2160e+04  6.2105e+04  
2.4393e+00  6.5296e+04  6.5430e+04  
2.4992e+00  6.8542e+04  6.8632e+04  
2.5590e+00  7.1886e+04  7.1964e+04  
2.6188e+00  7.5259e+04  7.5440e+04  
2.6787e+00  7.8718e+04  7.9069e+04  
2.7385e+00  8.2201e+04  8.2549e+04  
2.7984e+00  8.5716e+04  8.6108e+04  
2.8582e+00  8.9398e+04  9.0051e+04  
2.9181e+00  9.3072e+04  9.3935e+04  
2.9779e+00  9.6902e+04  9.7675e+04  
3.0378e+00  1.0085e+05  1.0148e+05  
3.0976e+00  1.0480e+05  1.0560e+05  
3.1574e+00  1.0886e+05  1.0989e+05  
3.2173e+00  1.1305e+05  1.1393e+05  
3.2771e+00  1.1726e+05  1.1807e+05  
3.3370e+00  1.2161e+05  1.2229e+05  
3.3968e+00  1.2594e+05  1.2678e+05  
3.4567e+00  1.3052e+05  1.3137e+05  
3.5165e+00  1.3507e+05  1.3578e+05  
3.5763e+00  1.3973e+05  1.4049e+05  
3.6362e+00  1.4441e+05  1.4514e+05  
3.6960e+00  1.4921e+05  1.4993e+05  
3.7559e+00  1.5409e+05  1.5483e+05  
3.8157e+00  1.5901e+05  1.5974e+05  
3.8756e+00  1.6397e+05  1.6462e+05  
3.9354e+00  1.6905e+05  1.6962e+05  
3.9952e+00  1.7425e+05  1.7488e+05  
4.0551e+00  1.7946e+05  1.8005e+05  
4.1149e+00  1.8475e+05  1.8543e+05  
4.1748e+00  1.9023e+05  1.9071e+05  
4.2346e+00  1.9561e+05  1.9616e+05  
4.2945e+00  2.0119e+05  2.0208e+05  
4.3543e+00  2.0680e+05  2.0755e+05  
4.4142e+00  2.1247e+05  2.1306e+05  
4.4740e+00  2.1830e+05  2.1887e+05  
4.5338e+00  2.2411e+05  2.2485e+05  
4.5937e+00  2.3003e+05  2.3063e+05  
4.6535e+00  2.3605e+05  2.3655e+05  
4.7134e+00  2.4216e+05  2.4279e+05  
4.7732e+00  2.4836e+05  2.4892e+05  
4.8331e+00  2.5452e+05  2.5514e+05  
4.8929e+00  2.6085e+05  2.6133e+05  
4.9527e+00  2.6728e+05  2.6786e+05  
5.0126e+00  2.7377e+05  2.7440e+05  
5.0724e+00  2.8025e+05  2.8101e+05  
5.1323e+00  2.8694e+05  2.8790e+05  
5.1921e+00  2.9354e+05  2.9460e+05  
5.2520e+00  3.0033e+05  3.0117e+05  
5.3118e+00  3.0717e+05  3.0799e+05  
5.3716e+00  3.1403e+05  3.1511e+05  
5.4315e+00  3.2100e+05  3.2193e+05  
5.4913e+00  3.2810e+05  3.2916e+05  
