========POTENTIAL SUMMARIES========
POTENTIAL LJGaussAA
arg          val          deriv       
  0.0000e+00  1.0000e+300 -1.0000e+300
  6.0000e-02   4.2457e-01  -1.2737e-02
  1.2000e-01   4.2342e-01  -2.5405e-02
  1.8000e-01   4.2152e-01  -3.7937e-02
  2.4000e-01   4.1887e-01  -5.0265e-02
  3.0000e-01   4.1549e-01  -6.2324e-02
  3.6000e-01   4.1140e-01  -7.4052e-02
  4.2000e-01   4.0662e-01  -8.5389e-02
  4.8000e-01   4.0116e-01  -9.6279e-02
  5.4000e-01   3.9507e-01  -1.0667e-01
  6.0000e-01   3.8837e-01  -1.1651e-01
  6.6000e-01   3.8110e-01  -1.2576e-01
  7.2000e-01   3.7329e-01  -1.3439e-01
  7.8000e-01   3.6499e-01  -1.4235e-01
  8.4000e-01   3.5623e-01  -1.4962e-01
  9.0000e-01   3.4705e-01  -1.5617e-01
  9.6000e-01   3.3750e-01  -1.6200e-01
  1.0200e+00   3.2762e-01  -1.6709e-01
  1.0800e+00   3.1746e-01  -1.7143e-01
  1.1400e+00   3.0707e-01  -1.7503e-01
  1.2000e+00   2.9648e-01  -1.7789e-01
  1.2600e+00   2.8574e-01  -1.8001e-01
  1.3200e+00   2.7489e-01  -1.8143e-01
  1.3800e+00   2.6398e-01  -1.8215e-01
  1.4400e+00   2.5304e-01  -1.8219e-01
  1.5000e+00   2.4213e-01  -1.8160e-01
  1.5600e+00   2.3127e-01  -1.8039e-01
  1.6200e+00   2.2049e-01  -1.7860e-01
  1.6800e+00   2.0984e-01  -1.7627e-01
  1.7400e+00   1.9935e-01  -1.7344e-01
  1.8000e+00   1.8904e-01  -1.7014e-01
  1.8600e+00   1.7894e-01  -1.6642e-01
  1.9200e+00   1.6908e-01  -1.6232e-01
  1.9800e+00   1.5947e-01  -1.5788e-01
  2.0400e+00   1.5014e-01  -1.5314e-01
  2.1000e+00   1.4110e-01  -1.4815e-01
  2.1600e+00   1.3237e-01  -1.4295e-01
  2.2200e+00   1.2395e-01  -1.3758e-01
  2.2800e+00   1.1586e-01  -1.3208e-01
  2.3400e+00   1.0810e-01  -1.2648e-01
  2.4000e+00   1.0068e-01  -1.2082e-01
  2.4600e+00   9.3603e-02  -1.1513e-01
  2.5200e+00   8.6866e-02  -1.0945e-01
  2.5800e+00   8.0469e-02  -1.0380e-01
  2.6400e+00   7.4408e-02  -9.8219e-02
  2.7000e+00   6.8681e-02  -9.2719e-02
  2.7600e+00   6.3280e-02  -8.7326e-02
  2.8200e+00   5.8199e-02  -8.2060e-02
  2.8800e+00   5.3430e-02  -7.6939e-02
  2.9400e+00   4.8963e-02  -7.1976e-02
  3.0000e+00   4.4789e-02  -6.7184e-02
  3.0600e+00   4.0897e-02  -6.2573e-02
  3.1200e+00   3.7277e-02  -5.8152e-02
  3.1800e+00   3.3915e-02  -5.3925e-02
  3.2400e+00   3.0802e-02  -4.9899e-02
  3.3000e+00   2.7923e-02  -4.6074e-02
  3.3600e+00   2.5269e-02  -4.2451e-02
  3.4200e+00   2.2825e-02  -3.9031e-02
  3.4800e+00   2.0581e-02  -3.5811e-02
  3.5400e+00   1.8524e-02  -3.2787e-02
  3.6000e+00   1.6643e-02  -2.9957e-02
  3.6600e+00   1.4925e-02  -2.7314e-02
  3.7200e+00   1.3361e-02  -2.4852e-02
  3.7800e+00   1.1940e-02  -2.2566e-02
  3.8400e+00   1.0650e-02  -2.0448e-02
  3.9000e+00   9.4827e-03  -1.8491e-02
  3.9600e+00   8.4281e-03  -1.6688e-02
  4.0200e+00   7.4773e-03  -1.5029e-02
  4.0800e+00   6.6218e-03  -1.3508e-02
  4.1400e+00   5.8537e-03  -1.2117e-02
  4.2000e+00   5.1653e-03  -1.0847e-02
  4.2600e+00   4.5497e-03  -9.6909e-03
  4.3200e+00   4.0003e-03  -8.6406e-03
  4.3800e+00   3.5109e-03  -7.6888e-03
  4.4400e+00   3.0758e-03  -6.8283e-03
  4.5000e+00   2.6898e-03  -6.0521e-03
  4.5600e+00   2.3480e-03  -5.3535e-03
  4.6200e+00   2.0460e-03  -4.7262e-03
  4.6800e+00   1.7796e-03  -4.1642e-03
  4.7400e+00   1.5451e-03  -3.6618e-03
  4.8000e+00   1.3391e-03  -3.2137e-03
  4.8600e+00   1.1584e-03  -2.8150e-03
  4.9200e+00   1.0004e-03  -2.4609e-03
