#"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
4000	62919.7890625	10019.4505789	119.018418697	6749.99980563	0.00166053883015	0
8000	62969.71875	9977.57995209	118.521048531	6749.99980563	0.00166053883015	9.21e+03
12000	62937.6835938	10052.3269528	119.408948497	6749.99980563	0.00166053883015	9.01e+03
16000	62940.7382812	10240.7794726	121.647526423	6749.99980563	0.00166053883015	9.09e+03
20000	62985.8828125	10112.59526	120.124859869	6749.99980563	0.00166053883015	9.11e+03
24000	62945.59375	10125.8906303	120.282792077	6749.99980563	0.00166053883015	9.03e+03
28000	62937.3632812	10152.6225997	120.600334113	6749.99980563	0.00166053883015	8.63e+03
32000	62947.8671875	10114.0833492	120.142536489	6749.99980563	0.00166053883015	8.62e+03
36000	62970.859375	10188.5487452	121.027091347	6749.99980563	0.00166053883015	8.7e+03
40000	62956.421875	10147.9450337	120.544770535	6749.99980563	0.00166053883015	8.74e+03
44000	62960.28125	10169.1233575	120.796342275	6749.99980563	0.00166053883015	8.78e+03
48000	62941.4921875	10049.5340246	119.375772037	6749.99980563	0.00166053883015	8.73e+03
52000	62963.7109375	10326.3903208	122.664475177	6749.99980563	0.00166053883015	8.64e+03
56000	62968.6210938	10125.350385	120.276374645	6749.99980563	0.00166053883015	8.68e+03
60000	62944.0	10157.6783366	120.660389882	6749.99980563	0.00166053883015	8.71e+03
64000	62961.921875	10120.2292303	120.215541796	6749.99980563	0.00166053883015	8.73e+03
68000	62923.5546875	10221.2411766	121.415436143	6749.99980563	0.00166053883015	8.75e+03
72000	62927.4765625	10183.6126813	120.968457142	6749.99980563	0.00166053883015	8.76e+03
76000	62959.15625	10071.3654243	119.635101493	6749.99980563	0.00166053883015	8.78e+03
80000	62935.5664062	10176.8720645	120.888387127	6749.99980563	0.00166053883015	8.8e+03
84000	62968.0625	9897.65852292	117.57168289	6749.99980563	0.00166053883015	8.74e+03
88000	62952.6875	10060.4782757	119.505775917	6749.99980563	0.00166053883015	8.76e+03
92000	62919.03125	10125.599603	120.27933504	6749.99980563	0.00166053883015	8.76e+03
96000	62920.6171875	10268.3837803	121.975430736	6749.99980563	0.00166053883015	8.77e+03
100000	62952.265625	10252.8181232	121.790530388	6749.99980563	0.00166053883015	8.77e+03
