#"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
104000	62571.3125	10224.2601527	121.451297766	6749.99980563	0.00166053883015	0
108000	62533.9453125	10210.1446588	121.283623526	6749.99980563	0.00166053883015	9.06e+03
112000	62540.9765625	10094.9124043	119.914809877	6749.99980563	0.00166053883015	9.04e+03
116000	62524.265625	9902.92165073	117.634202201	6749.99980563	0.00166053883015	9.05e+03
120000	62512.96875	10180.4527729	120.930921421	6749.99980563	0.00166053883015	9.03e+03
124000	62536.40625	10123.6120052	120.255724889	6749.99980563	0.00166053883015	9.03e+03
128000	62509.3046875	10165.7552774	120.756333737	6749.99980563	0.00166053883015	9.03e+03
132000	62560.5703125	10023.1574029	119.062451084	6749.99980563	0.00166053883015	9.03e+03
136000	62519.2695312	10189.5998349	121.039576965	6749.99980563	0.00166053883015	9.03e+03
140000	62533.421875	10273.474984	122.035907806	6749.99980563	0.00166053883015	9.02e+03
144000	62525.9804688	10088.6080687	119.839922332	6749.99980563	0.00166053883015	9.02e+03
148000	62531.9609375	10128.1654153	120.309813649	6749.99980563	0.00166053883015	9.02e+03
152000	62577.703125	10001.9130152	118.810094589	6749.99980563	0.00166053883015	9.01e+03
156000	62547.0273438	10140.5109815	120.456463385	6749.99980563	0.00166053883015	9.01e+03
160000	62557.6523438	10075.8308558	119.68814518	6749.99980563	0.00166053883015	9e+03
164000	62533.171875	9959.06067918	118.301062958	6749.99980563	0.00166053883015	9e+03
168000	62528.640625	10231.5750897	121.538189979	6749.99980563	0.00166053883015	9e+03
172000	62533.6875	10213.6742325	121.325550404	6749.99980563	0.00166053883015	8.99e+03
176000	62538.5117188	10275.8951523	122.064656348	6749.99980563	0.00166053883015	8.99e+03
180000	62534.1640625	10204.3393604	121.214663913	6749.99980563	0.00166053883015	8.99e+03
184000	62562.0703125	10206.9792199	121.24602211	6749.99980563	0.00166053883015	8.98e+03
188000	62542.53125	10073.2175603	119.657102529	6749.99980563	0.00166053883015	8.98e+03
192000	62556.875	10270.6662162	122.002543192	6749.99980563	0.00166053883015	8.98e+03
196000	62601.0234375	10215.12126	121.342739263	6749.99980563	0.00166053883015	8.98e+03
200000	62501.9375	9960.75965568	118.321244653	6749.99980563	0.00166053883015	8.98e+03
204000	62575.3085938	10047.3183535	119.349452663	6749.99980563	0.00166053883015	8.98e+03
208000	62582.59375	10199.8425672	121.161247689	6749.99980563	0.00166053883015	8.98e+03
212000	62507.9296875	10094.2476015	119.906912859	6749.99980563	0.00166053883015	8.97e+03
216000	62534.9296875	10181.8058702	120.946994509	6749.99980563	0.00166053883015	8.97e+03
220000	62543.6523438	10334.3289326	122.758775858	6749.99980563	0.00166053883015	8.97e+03
224000	62557.6914062	10094.4443303	119.909249748	6749.99980563	0.00166053883015	8.97e+03
228000	62546.4140625	10307.6631969	122.442020596	6749.99980563	0.00166053883015	8.97e+03
232000	62542.8867188	10323.3900487	122.628835734	6749.99980563	0.00166053883015	8.96e+03
236000	62538.875	10170.6852913	120.814896076	6749.99980563	0.00166053883015	8.96e+03
240000	62527.46875	10270.7872052	122.003980388	6749.99980563	0.00166053883015	8.96e+03
244000	62515.9570312	10118.3970435	120.19377773	6749.99980563	0.00166053883015	8.96e+03
248000	62546.0078125	10011.0801768	118.91898889	6749.99980563	0.00166053883015	8.96e+03
252000	62498.1289062	10097.8471084	119.949670455	6749.99980563	0.00166053883015	8.96e+03
256000	62508.1015625	10268.6184101	121.978217841	6749.99980563	0.00166053883015	8.96e+03
260000	62528.5195312	10117.1818638	120.17934293	6749.99980563	0.00166053883015	8.95e+03
264000	62510.9101562	10037.7382122	119.235652683	6749.99980563	0.00166053883015	8.95e+03
268000	62534.5429688	9925.23826917	117.899295443	6749.99980563	0.00166053883015	8.95e+03
272000	62540.34375	10018.7551509	119.010157889	6749.99980563	0.00166053883015	8.95e+03
276000	62568.9492188	10105.456247	120.040057412	6749.99980563	0.00166053883015	8.95e+03
280000	62577.4609375	10124.3175493	120.264105862	6749.99980563	0.00166053883015	8.95e+03
284000	62540.4023438	10132.4365661	120.360549527	6749.99980563	0.00166053883015	8.94e+03
288000	62584.0429688	10075.02214	119.678538657	6749.99980563	0.00166053883015	8.94e+03
292000	62568.5546875	10156.6485176	120.648156932	6749.99980563	0.00166053883015	8.94e+03
296000	62552.4648438	10188.183611	121.022754014	6749.99980563	0.00166053883015	8.94e+03
300000	62535.4296875	10097.9147659	119.950474141	6749.99980563	0.00166053883015	8.94e+03
304000	62573.2539062	10225.1801941	121.462226696	6749.99980563	0.00166053883015	8.94e+03
308000	62576.7109375	10105.030328	120.034998032	6749.99980563	0.00166053883015	8.94e+03
312000	62551.4960938	10066.7961214	119.580823946	6749.99980563	0.00166053883015	8.94e+03
316000	62538.8007812	10131.8744733	120.353872574	6749.99980563	0.00166053883015	8.94e+03
320000	62542.4179688	10104.480893	120.028471437	6749.99980563	0.00166053883015	8.93e+03
324000	62505.7578125	10152.9268678	120.603948433	6749.99980563	0.00166053883015	8.93e+03
328000	62539.890625	10232.0663104	121.544025061	6749.99980563	0.00166053883015	8.93e+03
332000	62569.03125	9984.22829278	118.600022421	6749.99980563	0.00166053883015	8.93e+03
336000	62578.2890625	10176.0732794	120.87889857	6749.99980563	0.00166053883015	8.93e+03
340000	62562.4335938	10137.7300303	120.423429196	6749.99980563	0.00166053883015	8.93e+03
344000	62559.5234375	10173.9060888	120.853155083	6749.99980563	0.00166053883015	8.93e+03
348000	62531.5	10069.2484513	119.609954527	6749.99980563	0.00166053883015	8.93e+03
352000	62542.53125	10191.1842518	121.058397838	6749.99980563	0.00166053883015	8.93e+03
356000	62535.875	10070.3109055	119.622575141	6749.99980563	0.00166053883015	8.93e+03
360000	62514.0	10059.4397803	119.493439904	6749.99980563	0.00166053883015	8.93e+03
364000	62541.453125	10130.0468106	120.332162251	6749.99980563	0.00166053883015	8.93e+03
368000	62565.4414062	10124.7241243	120.268935459	6749.99980563	0.00166053883015	8.93e+03
372000	62557.8984375	9895.82497835	117.549902696	6749.99980563	0.00166053883015	8.93e+03
376000	62569.4296875	10113.9132581	120.140516022	6749.99980563	0.00166053883015	8.93e+03
380000	62550.9257812	10371.1488318	123.196149759	6749.99980563	0.00166053883015	8.93e+03
384000	62543.6328125	10133.1887524	120.36948455	6749.99980563	0.00166053883015	8.93e+03
388000	62542.4335938	10186.9267712	121.007824345	6749.99980563	0.00166053883015	8.93e+03
392000	62521.640625	10146.4452751	120.526955297	6749.99980563	0.00166053883015	8.93e+03
396000	62535.7421875	10140.083684	120.45138763	6749.99980563	0.00166053883015	8.93e+03
400000	62562.5664062	10004.2311054	118.837630573	6749.99980563	0.00166053883015	8.91e+03
404000	62535.578125	10233.6217652	121.5625019	6749.99980563	0.00166053883015	8.91e+03
408000	62504.6640625	10080.7422715	119.746486596	6749.99980563	0.00166053883015	8.91e+03
412000	62515.8867188	10201.3273403	121.178884919	6749.99980563	0.00166053883015	8.91e+03
416000	62520.7421875	10220.6533729	121.408453778	6749.99980563	0.00166053883015	8.91e+03
420000	62531.4921875	9967.88695116	118.405907922	6749.99980563	0.00166053883015	8.91e+03
424000	62518.9453125	10065.1368385	119.56111376	6749.99980563	0.00166053883015	8.91e+03
428000	62552.6132812	10019.5084357	119.019105961	6749.99980563	0.00166053883015	8.91e+03
432000	62575.0390625	10044.9131028	119.320881322	6749.99980563	0.00166053883015	8.91e+03
436000	62545.2734375	10147.0820662	120.534519571	6749.99980563	0.00166053883015	8.91e+03
440000	62550.0507812	10229.525174	121.51383957	6749.99980563	0.00166053883015	8.91e+03
444000	62558.625	10259.5800357	121.870853369	6749.99980563	0.00166053883015	8.91e+03
448000	62572.671875	10159.9119529	120.686922422	6749.99980563	0.00166053883015	8.91e+03
452000	62550.6484375	9989.47016936	118.662289295	6749.99980563	0.00166053883015	8.91e+03
456000	62532.5703125	10250.0203905	121.757296857	6749.99980563	0.00166053883015	8.91e+03
460000	62551.5585938	10053.4559218	119.422359222	6749.99980563	0.00166053883015	8.91e+03
464000	62563.875	10186.0203328	120.997057002	6749.99980563	0.00166053883015	8.91e+03
468000	62564.375	10047.5586335	119.352306886	6749.99980563	0.00166053883015	8.91e+03
472000	62524.8515625	10225.9340572	121.471181638	6749.99980563	0.00166053883015	8.91e+03
476000	62564.0742188	10139.2561163	120.441557171	6749.99980563	0.00166053883015	8.91e+03
480000	62564.5585938	10166.4969047	120.765143333	6749.99980563	0.00166053883015	8.91e+03
484000	62535.5546875	10038.1528657	119.240578243	6749.99980563	0.00166053883015	8.91e+03
488000	62557.7890625	10138.8052751	120.436201746	6749.99980563	0.00166053883015	8.91e+03
492000	62560.71875	10004.7932427	118.844308053	6749.99980563	0.00166053883015	8.91e+03
496000	62562.0507812	10254.070613	121.805408386	6749.99980563	0.00166053883015	8.9e+03
500000	62553.9648438	10146.9009137	120.532367709	6749.99980563	0.00166053883015	8.9e+03
504000	62577.3789062	10106.6330988	120.054036924	6749.99980563	0.00166053883015	8.9e+03
508000	62546.4765625	10128.2982034	120.311391005	6749.99980563	0.00166053883015	8.9e+03
512000	62563.6328125	10029.2404033	119.134709446	6749.99980563	0.00166053883015	8.9e+03
516000	62562.078125	10071.602063	119.637912462	6749.99980563	0.00166053883015	8.9e+03
520000	62552.1835938	10319.8630868	122.58693988	6749.99980563	0.00166053883015	8.9e+03
524000	62529.6289062	10184.7092886	120.981483452	6749.99980563	0.00166053883015	8.9e+03
