Iter       Mode Srel         Bias         Obj          dx           Global:Charge(0)     Global:Charge(1)     AA:Epsilon           AA:Sigma             AA:B                 AA:Kappa             AA:Dist0             BB:Epsilon           BB:Sigma             BB:B                 BB:Kappa             BB:Dist0             AB:Epsilon           AB:Sigma             AB:B                 AB:Kappa             AB:Dist0             Uext:UConst          Uext:NPeriods       
1          SD   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.3000e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
2          LSB  4.2307e+01   0.0000e+00   4.2307e+01   1.0000e-04   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           2.3837e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
3          LSB  -6.6636e-01  0.0000e+00   -6.6636e-01  1.0000e-05   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.1084e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
4          LSB  -2.6043e+00  0.0000e+00   -2.6043e+00  1.0000e-06   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2808e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
5          LSB  -3.5627e-01  0.0000e+00   -3.5627e-01  1.0000e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2981e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
6          LSB  -6.9061e-01  0.0000e+00   -6.9061e-01  1.0000e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2962e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
7          LSB  -1.0030e+00  0.0000e+00   -1.0030e+00  1.0000e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2943e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
8          LSB  -1.2937e+00  0.0000e+00   -1.2937e+00  1.0000e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2923e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
9          LSB  -1.5630e+00  0.0000e+00   -1.5630e+00  1.0000e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2904e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
10         LSB  -1.8111e+00  0.0000e+00   -1.8111e+00  1.0000e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2885e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
11         LSB  -2.0386e+00  0.0000e+00   -2.0386e+00  1.0000e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2866e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
12         LSB  -2.2462e+00  0.0000e+00   -2.2462e+00  1.0000e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2847e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
13         LSB  -2.4345e+00  0.0000e+00   -2.4345e+00  1.0000e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2828e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
14         LSB  -2.6043e+00  0.0000e+00   -2.6043e+00  1.0000e-07   0.0000e+00           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2495e-01           2.5000e-01           0.0000e+00           0.0000e+00           1.0000e+00           4.2808e-01           2.5000e-01           0.0000e+00           2.5000e+00           1.0000e+00          
