#"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
104000	58367.8671875	10025.9962019	119.096172431	6750.0	0.00166053878234	0
108000	58311.5820312	10198.61154	121.146624641	6750.0	0.00166053878234	3.47e+03
112000	58496.125	10220.5969809	121.407783912	6750.0	0.00166053878234	3.47e+03
116000	58416.53125	10165.4101868	120.752234497	6750.0	0.00166053878234	3.47e+03
120000	58412.078125	10289.638561	122.227910687	6750.0	0.00166053878234	3.47e+03
124000	58409.609375	10065.4023325	119.564267493	6750.0	0.00166053878234	3.48e+03
128000	58426.125	10175.1897381	120.868403214	6750.0	0.00166053878234	3.48e+03
132000	58489.3515625	10169.2650918	120.798025899	6750.0	0.00166053878234	3.48e+03
136000	58375.0976562	10249.8180935	121.754893824	6750.0	0.00166053878234	3.48e+03
140000	58395.375	10183.1299202	120.96272255	6750.0	0.00166053878234	3.48e+03
144000	58403.34375	10185.2505744	120.987913243	6750.0	0.00166053878234	3.48e+03
148000	58390.6015625	10217.5920167	121.372088732	6750.0	0.00166053878234	3.48e+03
152000	58470.8710938	10289.148407	122.222088275	6750.0	0.00166053878234	3.48e+03
156000	58449.6757812	9910.438206	117.723489385	6750.0	0.00166053878234	3.48e+03
160000	58426.8867188	10274.2611566	122.045246543	6750.0	0.00166053878234	3.48e+03
164000	58365.1875	10315.0451263	122.529708595	6750.0	0.00166053878234	3.48e+03
168000	58389.5234375	10193.1938256	121.082269036	6750.0	0.00166053878234	3.48e+03
172000	58425.765625	10066.279865	119.574691472	6750.0	0.00166053878234	3.48e+03
176000	58449.4296875	10091.6359441	119.875889667	6750.0	0.00166053878234	3.48e+03
180000	58517.6328125	10152.3202726	120.596742848	6750.0	0.00166053878234	3.48e+03
184000	58456.5703125	10261.741001	121.896522907	6750.0	0.00166053878234	3.48e+03
188000	58520.4023438	10127.1820751	120.29813281	6750.0	0.00166053878234	3.48e+03
192000	58454.984375	10146.7155071	120.530165312	6750.0	0.00166053878234	3.48e+03
196000	58464.2578125	10272.0795475	122.019331782	6750.0	0.00166053878234	3.48e+03
200000	58433.5039062	9986.89550906	118.631705582	6750.0	0.00166053878234	3.48e+03
204000	58472.6445312	10121.2660499	120.227857903	6750.0	0.00166053878234	3.48e+03
208000	58514.5390625	10121.5088428	120.230741976	6750.0	0.00166053878234	3.48e+03
212000	58412.578125	10102.6766699	120.007039546	6750.0	0.00166053878234	3.48e+03
216000	58499.8828125	10112.1259864	120.119285492	6750.0	0.00166053878234	3.48e+03
220000	58377.0	10130.1266213	120.3331103	6750.0	0.00166053878234	3.48e+03
224000	58491.96875	10086.2304064	119.811678706	6750.0	0.00166053878234	3.48e+03
228000	58428.234375	10409.5100661	123.651832774	6750.0	0.00166053878234	3.48e+03
232000	58527.078125	10275.6718466	122.062003758	6750.0	0.00166053878234	3.48e+03
236000	58497.1601562	10210.9889375	121.293652491	6750.0	0.00166053878234	3.48e+03
240000	58454.046875	10131.457502	120.348919482	6750.0	0.00166053878234	3.48e+03
244000	58428.6875	10225.1345028	121.461683942	6750.0	0.00166053878234	3.48e+03
248000	58428.0546875	10201.0073018	121.175083265	6750.0	0.00166053878234	3.48e+03
252000	58506.65625	10214.1899278	121.331676213	6750.0	0.00166053878234	3.48e+03
256000	58305.2578125	10024.8410698	119.08245092	6750.0	0.00166053878234	3.48e+03
260000	58419.8242188	10432.6162805	123.926305419	6750.0	0.00166053878234	3.48e+03
264000	58406.6132812	10180.7492254	120.934442903	6750.0	0.00166053878234	3.48e+03
268000	58456.4765625	9958.38155037	118.292995765	6750.0	0.00166053878234	3.48e+03
272000	58497.5429688	10140.1905474	120.452657032	6750.0	0.00166053878234	3.48e+03
276000	58353.3203125	10288.0550503	122.209100579	6750.0	0.00166053878234	3.48e+03
280000	58504.5351562	9952.79481914	118.226632454	6750.0	0.00166053878234	3.48e+03
284000	58410.1992188	10041.1389468	119.276049115	6750.0	0.00166053878234	3.48e+03
288000	58398.0351562	10097.715084	119.948102172	6750.0	0.00166053878234	3.48e+03
292000	58434.0390625	10056.9910167	119.464351685	6750.0	0.00166053878234	3.48e+03
296000	58450.3242188	10061.7667916	119.52108186	6750.0	0.00166053878234	3.48e+03
300000	58430.8789062	10060.1653961	119.502059304	6750.0	0.00166053878234	3.48e+03
304000	58377.4375	9832.61528477	116.799051368	6750.0	0.00166053878234	3.48e+03
308000	58403.921875	9921.12817457	117.85047271	6750.0	0.00166053878234	3.48e+03
312000	58441.0546875	10121.1089454	120.2259917	6750.0	0.00166053878234	3.48e+03
316000	58405.859375	10104.3373339	120.026766137	6750.0	0.00166053878234	3.48e+03
320000	58433.1015625	10089.0308029	119.84494388	6750.0	0.00166053878234	3.48e+03
