#"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
4000	58480.9492188	10064.6103292	119.554859495	6750.0	0.00166053878234	0
8000	58354.6328125	9993.61675533	118.711545499	6750.0	0.00166053878234	9.87e+03
12000	58400.7929688	10266.8087268	121.95672109	6750.0	0.00166053878234	9.82e+03
16000	58351.234375	10017.6026864	118.996468067	6750.0	0.00166053878234	9.83e+03
20000	58379.828125	10115.5097526	120.15948036	6750.0	0.00166053878234	9.81e+03
24000	58381.0039062	10181.7147919	120.945912614	6750.0	0.00166053878234	9.8e+03
28000	58352.8945312	10026.8271218	119.10604271	6750.0	0.00166053878234	9.79e+03
32000	58348.9921875	10231.7507117	121.540276147	6750.0	0.00166053878234	9.77e+03
36000	58351.734375	10346.1905281	122.899676633	6750.0	0.00166053878234	9.77e+03
40000	58410.2382812	10275.2239808	122.056683679	6750.0	0.00166053878234	9.76e+03
44000	58421.2890625	10001.4405808	118.804482665	6750.0	0.00166053878234	9.75e+03
48000	58460.3515625	10072.3623869	119.64694415	6750.0	0.00166053878234	9.74e+03
52000	58406.4296875	10214.0273056	121.329744467	6750.0	0.00166053878234	9.73e+03
56000	58420.59375	10366.2907344	123.138441698	6750.0	0.00166053878234	9.73e+03
60000	58450.1210938	10052.1820385	119.407227098	6750.0	0.00166053878234	9.72e+03
64000	58389.890625	10014.2219369	118.956309033	6750.0	0.00166053878234	9.71e+03
68000	58397.1796875	10177.7970765	120.899375102	6750.0	0.00166053878234	9.7e+03
72000	58383.6523438	9991.9135808	118.691313937	6750.0	0.00166053878234	9.69e+03
76000	58334.0742188	10091.8000704	119.877839281	6750.0	0.00166053878234	9.69e+03
80000	58487.25	10117.3706658	120.181585659	6750.0	0.00166053878234	9.68e+03
84000	58460.6523438	10145.9570543	120.521155852	6750.0	0.00166053878234	9.67e+03
88000	58370.7695312	10191.1218438	121.05765651	6750.0	0.00166053878234	9.66e+03
92000	58498.4023438	10189.1435016	121.034156303	6750.0	0.00166053878234	9.66e+03
96000	58406.984375	10228.7968394	121.505187875	6750.0	0.00166053878234	9.65e+03
100000	58396.2578125	10083.4544762	119.778704161	6750.0	0.00166053878234	9.64e+03
