#"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
100	43409.9609375	3848.459558770992	47258.42049627099	154.28758196795135	2.0	19.926465388026116	0
200	43377.83203125	3078.9050579713657	46456.737089221366	123.4355744808711	2.0	19.926465388026116	4.17e+03
300	43369.234375	2984.104297535494	46353.338672535494	119.6349420789953	2.0	19.926465388026116	3.52e+03
400	43365.125	3080.524587187916	46445.649587187916	123.50050260157293	2.0	19.926465388026116	3.63e+03
500	43362.18359375	3095.1871296041645	46457.370723354165	124.08833474073356	2.0	19.926465388026116	3.69e+03
600	43373.390625	3035.654914675746	46409.045539675746	121.70164433896788	2.0	19.926465388026116	3.71e+03
700	43360.96875	2992.696898214519	46353.66564821452	119.97942577730038	2.0	19.926465388026116	3.86e+03
800	43351.171875	3034.027826126199	46385.1997011262	121.63641315903118	2.0	19.926465388026116	4.06e+03
900	43370.10546875	2958.774606176652	46328.88007492665	118.61945607165414	2.0	19.926465388026116	4.08e+03
1000	43356.27734375	3052.5099809370004	46408.787324687	122.37737637607133	2.0	19.926465388026116	3.94e+03
1100	43373.5859375	3006.775773515925	46380.361711015925	120.54385827136973	2.0	19.926465388026116	3.95e+03
1200	43362.703125	2887.5089213447645	46250.212046344765	115.76236220796979	2.0	19.926465388026116	4.03e+03
1300	43358.71875	2942.9709233010653	46301.689673301065	117.98587476988226	2.0	19.926465388026116	4.14e+03
1400	43351.7578125	2989.051911631599	46340.8097241316	119.83329557699655	2.0	19.926465388026116	4.22e+03
1500	43363.76953125	3066.4810262806714	46430.25055753067	122.93748588761001	2.0	19.926465388026116	4.22e+03
1600	43356.5390625	3002.7344618015923	46359.27352430159	120.38183910425597	2.0	19.926465388026116	4.18e+03
1700	43361.171875	2925.7417217758484	46286.91359677585	117.29514337412006	2.0	19.926465388026116	4.15e+03
1800	43340.48046875	2977.1603976152837	46317.640866365284	119.35655601003559	2.0	19.926465388026116	4.12e+03
1900	43375.046875	2987.3753376002423	46362.42221260024	119.76608048759832	2.0	19.926465388026116	4.1e+03
2000	43371.4296875	3057.050176425022	46428.47986392502	122.5593961616014	2.0	19.926465388026116	4.03e+03
2100	43337.84375	3006.0844735233113	46343.92822352331	120.5161435448289	2.0	19.926465388026116	4.1e+03
2200	43358.51953125	2965.882198770996	46324.401730020996	118.904404700644	2.0	19.926465388026116	4.16e+03
2300	43346.5390625	3063.803250824567	46410.34231332457	122.83013189470293	2.0	19.926465388026116	4.21e+03
2400	43372.6875	2965.3830809807405	46338.07058098074	118.88439470033094	2.0	19.926465388026116	4.2e+03
2500	43384.12890625	3022.527888723649	46406.65679497365	121.17537218730563	2.0	19.926465388026116	4.25e+03
2600	43383.390625	2964.3815783988684	46347.77220339887	118.8442437232109	2.0	19.926465388026116	4.29e+03
2700	43356.484375	3001.7961711194366	46358.28054611944	120.3442223388146	2.0	19.926465388026116	4.35e+03
2800	43364.1953125	2988.222867832519	46352.41818033252	119.80005859966778	2.0	19.926465388026116	4.39e+03
2900	43367.5625	2989.32597269339	46356.88847269339	119.84428288708507	2.0	19.926465388026116	4.44e+03
3000	43384.1015625	3065.799492834485	46449.901055334485	122.91016270911831	2.0	19.926465388026116	4.4e+03
3100	43368.546875	2937.9159807814285	46306.46285578143	117.7832183962264	2.0	19.926465388026116	4.44e+03
3200	43357.0234375	2953.3942246368388	46310.41766213684	118.40375260766663	2.0	19.926465388026116	4.48e+03
3300	43363.59375	2991.987270324491	46355.58102032449	119.95097627183527	2.0	19.926465388026116	4.52e+03
3400	43367.78515625	2991.6249955040403	46359.41015175404	119.93645240710404	2.0	19.926465388026116	4.56e+03
3500	43380.640625	2942.294350553537	46322.93497555354	117.9587504694583	2.0	19.926465388026116	4.59e+03
3600	43363.84765625	2959.1216289359145	46322.969285185914	118.63336847000387	2.0	19.926465388026116	4.59e+03
3700	43353.3828125	2888.0451323633315	46241.42794486333	115.78385930316225	2.0	19.926465388026116	4.62e+03
3800	43349.0625	3072.084086966235	46421.146586966235	123.16211672277758	2.0	19.926465388026116	4.65e+03
3900	43342.8046875	3037.1194902816787	46379.92417778168	121.76036025514105	2.0	19.926465388026116	4.64e+03
4000	43345.79296875	3074.940837327391	46420.73380607739	123.27664595162298	2.0	19.926465388026116	4.58e+03
4100	43344.84765625	3024.103730369825	46368.951386619825	121.23854884109136	2.0	19.926465388026116	4.58e+03
4200	43367.51171875	2957.026493119076	46324.538211869076	118.5493729299344	2.0	19.926465388026116	4.6e+03
4300	43357.2890625	2925.8654582626186	46283.15452076262	117.30010406113091	2.0	19.926465388026116	4.59e+03
4400	43352.9921875	3082.4178275326267	46435.41001503263	123.57640400326594	2.0	19.926465388026116	4.58e+03
4500	43365.0234375	2941.897391252689	46306.920828752685	117.94283607832797	2.0	19.926465388026116	4.58e+03
4600	43360.1171875	2955.355933405226	46315.473120905226	118.4823989589606	2.0	19.926465388026116	4.59e+03
4700	43398.46875	3027.077443827875	46425.546193827875	121.35776720675209	2.0	19.926465388026116	4.6e+03
4800	43365.4296875	3007.572182361968	46373.00186986197	120.57578688936283	2.0	19.926465388026116	4.6e+03
4900	43380.09375	3006.3407863294706	46386.43453632947	120.52641931425971	2.0	19.926465388026116	4.62e+03
5000	43355.859375	3075.3504410551977	46431.2098160552	123.29306726715542	2.0	19.926465388026116	4.63e+03
5100	43358.09375	3090.7259681224823	46448.81971812248	123.90948348680557	2.0	19.926465388026116	4.64e+03
5200	43386.4453125	2953.634153040126	46340.079465540126	118.41337151430271	2.0	19.926465388026116	4.61e+03
5300	43373.51171875	3071.758386896923	46445.27010564692	123.14905916679355	2.0	19.926465388026116	4.57e+03
5400	43366.546875	3050.5447300560772	46417.09160505608	122.29858801887345	2.0	19.926465388026116	4.55e+03
5500	43359.73828125	3010.6123033352196	46370.35058458522	120.69766758128385	2.0	19.926465388026116	4.53e+03
5600	43362.96875	3053.075981761329	46416.04473176133	122.4000677665469	2.0	19.926465388026116	4.51e+03
5700	43376.2578125	3046.341229028534	46422.599041528534	122.13006656257768	2.0	19.926465388026116	4.48e+03
5800	43376.46484375	3012.1968372743577	46388.66168102436	120.76119271550505	2.0	19.926465388026116	4.48e+03
5900	43373.2890625	3035.0076206587255	46408.296683158726	121.67569384444319	2.0	19.926465388026116	4.48e+03
6000	43379.8046875	3088.837925635744	46468.642613135744	123.8337904710721	2.0	19.926465388026116	4.46e+03
6100	43354.27734375	3001.763746421784	46356.041090171784	120.34292240877235	2.0	19.926465388026116	4.46e+03
6200	43368.875	3044.7669899407774	46413.64198994078	122.06695415654087	2.0	19.926465388026116	4.47e+03
6300	43358.3046875	3006.200288671069	46364.50497617107	120.52078665951672	2.0	19.926465388026116	4.48e+03
6400	43355.58203125	2952.7491940041073	46308.33122525411	118.37789285388733	2.0	19.926465388026116	4.5e+03
6500	43343.05078125	2946.580994183896	46289.631775433896	118.13060517401901	2.0	19.926465388026116	4.51e+03
6600	43366.328125	3017.7665003244765	46384.09462532448	120.98448461483672	2.0	19.926465388026116	4.52e+03
6700	43373.5078125	2965.877141736448	46339.38495423645	118.90420196039938	2.0	19.926465388026116	4.54e+03
6800	43354.90625	2963.479676309973	46318.38592630997	118.80808580331009	2.0	19.926465388026116	4.51e+03
6900	43335.96875	3037.060513225384	46373.029263225384	121.75799582145834	2.0	19.926465388026116	4.47e+03
7000	43365.93359375	2967.690197377582	46333.62379112758	118.97688869818941	2.0	19.926465388026116	4.43e+03
7100	43351.28125	3002.149206900969	46353.43045690097	120.35837580366177	2.0	19.926465388026116	4.44e+03
7200	43363.328125	3044.456320067635	46407.784445067635	122.0544991722061	2.0	19.926465388026116	4.45e+03
7300	43377.1484375	2961.400056239683	46338.54849373968	118.7247123009627	2.0	19.926465388026116	4.46e+03
7400	43372.85546875	3058.6028026837157	46431.458271433716	122.62164209338151	2.0	19.926465388026116	4.47e+03
7500	43356.5703125	3063.157833883539	46419.72814638354	122.80425665353911	2.0	19.926465388026116	4.49e+03
7600	43369.7265625	2922.9103628974262	46292.636925397426	117.18163210854378	2.0	19.926465388026116	4.5e+03
7700	43347.9453125	2967.929858547257	46315.87517104726	118.9864968912329	2.0	19.926465388026116	4.51e+03
7800	43356.9375	2982.2426596116275	46339.18015961163	119.56030764166086	2.0	19.926465388026116	4.52e+03
7900	43345.6484375	2972.2611642195843	46317.909601719584	119.16014212999458	2.0	19.926465388026116	4.51e+03
8000	43367.1640625	3021.035530223511	46388.19959272351	121.11554243441375	2.0	19.926465388026116	4.49e+03
8100	43346.5703125	3060.1367411212996	46406.7070536213	122.68313881663099	2.0	19.926465388026116	4.48e+03
8200	43355.7421875	2982.4957754476927	46338.23796294769	119.57045524220283	2.0	19.926465388026116	4.48e+03
8300	43351.86328125	2990.6988252284937	46342.562106478494	119.89932155770249	2.0	19.926465388026116	4.45e+03
8400	43377.984375	3111.4917193420697	46489.47609434207	124.74199776803694	2.0	19.926465388026116	4.45e+03
8500	43373.546875	3020.6771582062356	46394.224033206236	121.10117503594016	2.0	19.926465388026116	4.46e+03
8600	43369.546875	3173.6871900074184	46543.23406500742	127.23546005645962	2.0	19.926465388026116	4.47e+03
8700	43365.859375	2996.5366204485763	46362.395995448576	120.13336307347673	2.0	19.926465388026116	4.48e+03
8800	43371.8828125	3017.7135922536254	46389.596404753625	120.98236349125634	2.0	19.926465388026116	4.49e+03
8900	43377.6171875	2984.9578492781147	46362.575036778115	119.66916159785535	2.0	19.926465388026116	4.5e+03
9000	43349.27734375	2986.6475047720596	46335.92484852206	119.73690113273636	2.0	19.926465388026116	4.5e+03
9100	43360.21875	2991.5490635763854	46351.767813576385	119.93340824012421	2.0	19.926465388026116	4.5e+03
9200	43393.171875	3109.693194811698	46502.8650698117	124.66989359319412	2.0	19.926465388026116	4.48e+03
9300	43369.8203125	2947.0915575861	46316.9118700861	118.15107403735624	2.0	19.926465388026116	4.48e+03
9400	43368.01171875	2961.8969309320673	46329.90864968207	118.74463237382777	2.0	19.926465388026116	4.47e+03
9500	43377.6484375	3039.5306656085886	46417.17910310859	121.85702605224988	2.0	19.926465388026116	4.46e+03
9600	43354.81640625	3072.9016645140946	46427.718070764095	123.1948940096385	2.0	19.926465388026116	4.45e+03
9700	43349.90234375	2939.8730409285054	46289.775384678505	117.86167838086367	2.0	19.926465388026116	4.44e+03
9800	43367.4609375	2965.927910547558	46333.38884804756	118.906237319479	2.0	19.926465388026116	4.44e+03
9900	43371.9453125	3024.5010298835114	46396.44634238351	121.25447687160529	2.0	19.926465388026116	4.43e+03
10000	43377.65625	3035.745874658227	46413.40212465823	121.70529099174895	2.0	19.926465388026116	4.41e+03
10100	43383.76953125	2975.5428532483056	46359.312384498306	119.29170746341694	2.0	19.926465388026116	4.4e+03
